instrument_name,open_interest,strike,type,gex_level,total_gex
BTC-9JUL25-109000-C,194.5,109000,C,0.14782,0.155933
BTC-9JUL25-109000-P,83.2,109000,P,-0.06323200000000001,0.155933
BTC-10JUL25-109000-C,76.0,109000,C,0.01976,-0.010819000000000016
BTC-10JUL25-107000-P,266.8,107000,P,-0.032016,-0.010819000000000016
BTC-11JUL25-112000-C,3845.5,112000,C,0.30764,0.7353160000000002
BTC-11JUL25-108000-P,976.8,108000,P,-0.14651999999999998,0.7353160000000002
BTC-18JUL25-114000-C,2234.2,114000,C,0.11170999999999999,0.4031340000000001
BTC-18JUL25-106000-P,425.6,106000,P,-0.025536000000000003,0.4031340000000001
BTC-25JUL25-115000-C,6317.7,115000,C,0.252708,0.769843
BTC-25JUL25-108000-P,1998.5,108000,P,-0.099925,0.769843
BTC-29AUG25-120000-C,3512.4,120000,C,0.070248,0.13390800000000003
BTC-29AUG25-100000-P,939.7,100000,P,-0.018794,0.13390800000000003
BTC-26SEP25-115000-C,5276.9,115000,C,0.105538,0.37066000000000004
BTC-26SEP25-100000-P,1555.6,100000,P,-0.031112,0.37066000000000004
BTC-26DEC25-170000-C,3516.8,170000,C,0.035168000000000005,0.15592899999999998
BTC-26DEC25-90000-P,1531.0,90000,P,-0.01531,0.15592899999999998
BTC-27MAR26-100000-C,1083.4,100000,C,0.010834000000000002,0.03400700000000001
BTC-27MAR26-95000-P,480.4,95000,P,-0.004804,0.03400700000000001
BTC-26JUN26-120000-C,673.6,120000,C,0.006736000000000001,0.007199000000000001
BTC-26JUN26-115000-P,46.0,115000,P,-0.00046,0.007199000000000001
