instrument_name,gamma,open_interest,index_price
BTC-9JUL25-96000-C,0.0,0.0,108899.67
BTC-9JUL25-96000-P,0.0,15.1,108899.67
BTC-9JUL25-98000-C,0.0,0.0,108899.99
BTC-9JUL25-98000-P,0.0,2.8,108899.92
BTC-9JUL25-100000-C,0.0,0.0,108900.42
BTC-9JUL25-100000-P,0.0,17.7,108900.42
BTC-9JUL25-102000-C,0.0,0.0,108900.5
BTC-9JUL25-102000-P,0.0,382.0,108900.5
BTC-9JUL25-103000-C,0.0,0.0,108900.5
BTC-9JUL25-103000-P,0.0,44.7,108900.5
BTC-9JUL25-104000-C,0.0,0.0,108900.5
BTC-9JUL25-104000-P,0.0,9.1,108900.5
BTC-9JUL25-105000-C,2e-05,0.0,108900.5
BTC-9JUL25-105000-P,2e-05,49.2,108900.5
BTC-9JUL25-106000-C,3e-05,4.1,108900.5
BTC-9JUL25-106000-P,3e-05,129.0,108900.5
BTC-9JUL25-106500-C,4e-05,0.0,108900.5
BTC-9JUL25-106500-P,4e-05,20.0,108900.5
BTC-9JUL25-107000-C,7e-05,60.5,108900.38
BTC-9JUL25-107000-P,7e-05,203.7,108900.42
BTC-9JUL25-107500-C,0.00012,0.0,108900.42
BTC-9JUL25-107500-P,0.00012,47.2,108900.42
BTC-9JUL25-108000-C,0.00025,36.7,108900.42
BTC-9JUL25-108000-P,0.00025,126.7,108900.42
BTC-9JUL25-108500-C,0.00055,131.9,108900.42
BTC-9JUL25-108500-P,0.00055,40.8,108900.42
BTC-9JUL25-109000-C,0.00076,194.5,108900.42
BTC-9JUL25-109000-P,0.00076,83.2,108900.38
BTC-9JUL25-109500-C,0.00041,82.7,108900.38
BTC-9JUL25-109500-P,0.00041,5.5,108900.42
BTC-9JUL25-110000-C,0.00019,126.2,108900.65
BTC-9JUL25-110000-P,0.00019,11.4,108900.65
BTC-9JUL25-110500-C,0.00011,21.1,108900.21
BTC-9JUL25-110500-P,0.00011,0.0,108899.9
BTC-9JUL25-111000-C,7e-05,125.6,108900.03
BTC-9JUL25-111000-P,7e-05,2.0,108900.03
BTC-9JUL25-112000-C,2e-05,26.1,108900.32
BTC-9JUL25-112000-P,2e-05,0.0,108900.28
BTC-9JUL25-113000-C,0.0,84.6,108900.28
BTC-9JUL25-113000-P,0.0,0.0,108900.28
BTC-9JUL25-114000-C,0.0,43.0,108900.38
BTC-9JUL25-114000-P,0.0,0.0,108900.38
BTC-9JUL25-115000-C,0.0,54.9,108900.38
BTC-9JUL25-115000-P,0.0,0.0,108900.38
BTC-9JUL25-116000-C,0.0,10.8,108900.44
BTC-9JUL25-116000-P,0.0,0.0,108900.38
BTC-9JUL25-118000-C,0.0,33.5,108900.44
BTC-9JUL25-118000-P,0.0,0.0,108900.44
BTC-9JUL25-120000-C,0.0,61.0,108900.44
BTC-9JUL25-120000-P,0.0,0.0,108900.44
BTC-9JUL25-122000-C,0.0,0.0,108900.7
BTC-9JUL25-122000-P,0.0,0.0,108900.7
BTC-9JUL25-124000-C,0.0,0.0,108900.43
BTC-9JUL25-124000-P,0.0,0.0,108900.57
BTC-9JUL25-126000-C,0.0,0.0,108900.57
BTC-9JUL25-126000-P,0.0,0.0,108900.57
BTC-10JUL25-96000-C,0.0,0.0,108900.57
BTC-10JUL25-96000-P,0.0,17.7,108900.41
BTC-10JUL25-98000-C,0.0,0.0,108900.41
BTC-10JUL25-98000-P,0.0,2.0,108900.45
BTC-10JUL25-100000-C,1e-05,0.0,108901.16
BTC-10JUL25-100000-P,1e-05,51.1,108901.68
BTC-10JUL25-102000-C,1e-05,0.0,108901.68
BTC-10JUL25-102000-P,1e-05,511.0,108901.63
BTC-10JUL25-103000-C,2e-05,0.0,108901.81
BTC-10JUL25-103000-P,2e-05,16.2,108901.66
BTC-10JUL25-104000-C,3e-05,0.0,108901.66
BTC-10JUL25-104000-P,3e-05,10.1,108901.66
BTC-10JUL25-105000-C,4e-05,0.7,108902.05
BTC-10JUL25-105000-P,4e-05,10.6,108902.27
BTC-10JUL25-106000-C,6e-05,2.3,108902.27
BTC-10JUL25-106000-P,6e-05,47.8,108903.05
BTC-10JUL25-107000-C,0.00012,16.3,108903.05
BTC-10JUL25-107000-P,0.00012,266.8,108903.05
BTC-10JUL25-108000-C,0.00021,33.8,108903.05
BTC-10JUL25-108000-P,0.00021,43.3,108903.05
BTC-10JUL25-109000-C,0.00026,76.0,108903.05
BTC-10JUL25-109000-P,0.00026,52.2,108903.05
BTC-10JUL25-110000-C,0.0002,73.0,108903.05
BTC-10JUL25-110000-P,0.0002,14.3,108903.05
BTC-10JUL25-111000-C,0.00012,77.0,108903.05
BTC-10JUL25-111000-P,0.00012,0.0,108903.05
BTC-10JUL25-112000-C,6e-05,11.8,108903.05
BTC-10JUL25-112000-P,6e-05,0.0,108903.05
BTC-10JUL25-113000-C,4e-05,10.6,108903.05
BTC-10JUL25-113000-P,4e-05,0.0,108903.05
BTC-10JUL25-114000-C,2e-05,43.2,108903.05
BTC-10JUL25-114000-P,2e-05,0.0,108903.05
BTC-10JUL25-115000-C,2e-05,60.3,108903.05
BTC-10JUL25-115000-P,2e-05,0.0,108903.05
BTC-10JUL25-116000-C,1e-05,24.0,108903.07
BTC-10JUL25-116000-P,1e-05,0.0,108903.07
BTC-10JUL25-118000-C,0.0,17.6,108903.07
BTC-10JUL25-118000-P,0.0,0.0,108903.07
BTC-10JUL25-120000-C,0.0,0.9,108903.2
BTC-10JUL25-120000-P,0.0,0.0,108904.45
BTC-10JUL25-122000-C,0.0,5.9,108905.48
BTC-10JUL25-122000-P,0.0,0.0,108905.56
BTC-10JUL25-124000-C,0.0,0.0,108906.29
BTC-10JUL25-124000-P,0.0,0.0,108906.29
BTC-10JUL25-126000-C,0.0,0.0,108906.29
BTC-10JUL25-126000-P,0.0,0.0,108906.35
BTC-11JUL25-80000-C,0.0,0.1,108906.35
BTC-11JUL25-80000-P,0.0,159.9,108906.35
BTC-11JUL25-85000-C,0.0,0.0,108906.35
BTC-11JUL25-85000-P,0.0,1196.6,108906.35
BTC-11JUL25-90000-C,0.0,0.9,108906.35
BTC-11JUL25-90000-P,0.0,343.9,108906.35
BTC-11JUL25-92000-C,0.0,0.1,108906.35
BTC-11JUL25-92000-P,0.0,1107.7,108906.35
BTC-11JUL25-94000-C,0.0,0.1,108907.52
BTC-11JUL25-94000-P,0.0,420.7,108908.97
BTC-11JUL25-95000-C,0.0,2.6,108908.97
BTC-11JUL25-95000-P,0.0,1777.7,108910.68
BTC-11JUL25-96000-C,0.0,5.5,108912.28
BTC-11JUL25-96000-P,0.0,215.8,108912.32
BTC-11JUL25-97000-C,0.0,0.0,108912.32
BTC-11JUL25-97000-P,0.0,51.9,108913.59
BTC-11JUL25-98000-C,1e-05,6.5,108913.86
BTC-11JUL25-98000-P,1e-05,169.9,108913.86
BTC-11JUL25-99000-C,1e-05,11.7,108913.86
BTC-11JUL25-99000-P,1e-05,180.7,108913.86
BTC-11JUL25-100000-C,1e-05,308.7,108913.61
BTC-11JUL25-100000-P,1e-05,1869.4,108913.61
BTC-11JUL25-101000-C,1e-05,33.1,108914.51
BTC-11JUL25-101000-P,1e-05,466.0,108914.6
BTC-11JUL25-102000-C,2e-05,451.7,108917.58
BTC-11JUL25-102000-P,2e-05,1351.6,108917.58
BTC-11JUL25-103000-C,3e-05,31.6,108918.66
BTC-11JUL25-103000-P,3e-05,867.7,108919.21
BTC-11JUL25-104000-C,4e-05,55.5,108919.21
BTC-11JUL25-104000-P,4e-05,1496.5,108919.21
BTC-11JUL25-105000-C,5e-05,2018.3,108918.99
BTC-11JUL25-105000-P,5e-05,1109.4,108920.05
BTC-11JUL25-106000-C,8e-05,232.0,108920.32
BTC-11JUL25-106000-P,8e-05,690.3,108920.32
BTC-11JUL25-107000-C,0.00011,1007.9,108920.44
BTC-11JUL25-107000-P,0.00011,828.9,108920.36
BTC-11JUL25-108000-C,0.00015,855.2,108920.69
BTC-11JUL25-108000-P,0.00015,976.8,108920.69
BTC-11JUL25-109000-C,0.00017,972.4,108921.47
BTC-11JUL25-109000-P,0.00017,217.0,108921.57
BTC-11JUL25-110000-C,0.00015,1389.2,108921.88
BTC-11JUL25-110000-P,0.00015,306.7,108921.88
BTC-11JUL25-111000-C,0.00012,804.4,108922.44
BTC-11JUL25-111000-P,0.00012,49.8,108922.44
BTC-11JUL25-112000-C,8e-05,3845.5,108922.44
BTC-11JUL25-112000-P,8e-05,47.9,108922.44
BTC-11JUL25-113000-C,5e-05,809.7,108922.44
BTC-11JUL25-113000-P,5e-05,1.6,108922.44
BTC-11JUL25-114000-C,4e-05,1304.5,108922.44
BTC-11JUL25-114000-P,4e-05,1.7,108922.44
BTC-11JUL25-115000-C,3e-05,1504.1,108922.44
BTC-11JUL25-115000-P,3e-05,1.3,108922.44
BTC-11JUL25-116000-C,2e-05,1204.5,108922.44
BTC-11JUL25-116000-P,2e-05,0.0,108923.23
BTC-11JUL25-118000-C,1e-05,222.2,108923.31
BTC-11JUL25-118000-P,1e-05,0.0,108923.32
BTC-11JUL25-120000-C,0.0,494.4,108923.32
BTC-11JUL25-120000-P,0.0,1.4,108923.32
BTC-11JUL25-125000-C,0.0,109.9,108923.31
BTC-11JUL25-125000-P,0.0,0.0,108923.11
BTC-11JUL25-130000-C,0.0,233.2,108923.11
BTC-11JUL25-130000-P,0.0,0.0,108923.11
BTC-11JUL25-135000-C,0.0,74.3,108923.11
BTC-11JUL25-135000-P,0.0,0.0,108923.11
BTC-11JUL25-140000-C,0.0,186.6,108923.11
BTC-11JUL25-140000-P,0.0,0.0,108923.11
BTC-11JUL25-145000-C,0.0,97.3,108923.11
BTC-11JUL25-145000-P,0.0,0.0,108921.81
BTC-11JUL25-150000-C,0.0,182.6,108921.98
BTC-11JUL25-150000-P,0.0,0.0,108921.98
BTC-18JUL25-85000-C,0.0,0.0,108921.63
BTC-18JUL25-85000-P,0.0,191.8,108921.63
BTC-18JUL25-90000-C,0.0,3.0,108921.63
BTC-18JUL25-90000-P,0.0,463.1,108912.04
BTC-18JUL25-95000-C,1e-05,10.0,108904.49
BTC-18JUL25-95000-P,1e-05,728.4,108904.49
BTC-18JUL25-98000-C,1e-05,1.8,108898.1
BTC-18JUL25-98000-P,1e-05,1349.7,108894.96
BTC-18JUL25-100000-C,2e-05,1.6,108896.12
BTC-18JUL25-100000-P,2e-05,559.1,108896.12
BTC-18JUL25-101000-C,2e-05,0.5,108896.78
BTC-18JUL25-101000-P,2e-05,97.9,108896.65
BTC-18JUL25-102000-C,3e-05,4.5,108896.75
BTC-18JUL25-102000-P,3e-05,334.1,108896.75
BTC-18JUL25-103000-C,4e-05,7.7,108897.34
BTC-18JUL25-103000-P,4e-05,147.6,108897.34
BTC-18JUL25-104000-C,5e-05,6.5,108897.05
BTC-18JUL25-104000-P,5e-05,136.3,108897.05
BTC-18JUL25-105000-C,5e-05,603.1,108897.7
BTC-18JUL25-105000-P,5e-05,482.2,108898.1
BTC-18JUL25-106000-C,6e-05,58.4,108898.11
BTC-18JUL25-106000-P,6e-05,425.6,108898.11
BTC-18JUL25-107000-C,7e-05,260.1,108898.13
BTC-18JUL25-107000-P,7e-05,340.0,108900.2
BTC-18JUL25-108000-C,7e-05,894.0,108900.2
BTC-18JUL25-108000-P,7e-05,94.1,108900.2
BTC-18JUL25-109000-C,8e-05,473.9,108900.38
BTC-18JUL25-109000-P,8e-05,90.3,108900.69
BTC-18JUL25-110000-C,8e-05,369.1,108900.69
BTC-18JUL25-110000-P,8e-05,50.3,108900.68
BTC-18JUL25-111000-C,7e-05,397.5,108900.68
BTC-18JUL25-111000-P,7e-05,16.0,108900.68
BTC-18JUL25-112000-C,7e-05,1283.6,108900.63
BTC-18JUL25-112000-P,7e-05,3.2,108900.21
BTC-18JUL25-113000-C,6e-05,439.0,108900.21
BTC-18JUL25-113000-P,6e-05,4.1,108900.21
BTC-18JUL25-114000-C,5e-05,2234.2,108900.73
BTC-18JUL25-114000-P,5e-05,0.0,108900.2
BTC-18JUL25-115000-C,4e-05,801.7,108899.86
BTC-18JUL25-115000-P,4e-05,0.0,108900.27
BTC-18JUL25-116000-C,4e-05,959.0,108900.27
BTC-18JUL25-116000-P,4e-05,0.0,108900.27
BTC-18JUL25-117000-C,3e-05,135.4,108900.49
BTC-18JUL25-117000-P,3e-05,0.0,108900.71
BTC-18JUL25-118000-C,2e-05,1627.6,108900.71
BTC-18JUL25-118000-P,2e-05,10.0,108900.77
BTC-18JUL25-120000-C,2e-05,251.2,108900.85
BTC-18JUL25-120000-P,2e-05,0.1,108901.16
BTC-18JUL25-125000-C,1e-05,226.3,108901.16
BTC-18JUL25-125000-P,1e-05,0.0,108901.16
BTC-18JUL25-130000-C,0.0,142.7,108901.16
BTC-18JUL25-130000-P,0.0,0.0,108900.24
BTC-18JUL25-135000-C,0.0,12.4,108900.24
BTC-18JUL25-135000-P,0.0,0.0,108901.16
BTC-18JUL25-140000-C,0.0,16.7,108901.16
BTC-18JUL25-140000-P,0.0,0.0,108901.16
BTC-18JUL25-145000-C,0.0,44.9,108901.16
BTC-18JUL25-145000-P,0.0,0.0,108901.16
BTC-18JUL25-150000-C,0.0,72.8,108901.16
BTC-18JUL25-150000-P,0.0,0.0,108901.16
BTC-25JUL25-30000-C,0.0,12.7,108901.16
BTC-25JUL25-30000-P,0.0,505.4,108901.16
BTC-25JUL25-40000-C,0.0,12.1,108901.16
BTC-25JUL25-40000-P,0.0,195.2,108901.16
BTC-25JUL25-50000-C,0.0,529.8,108901.16
BTC-25JUL25-50000-P,0.0,640.7,108901.16
BTC-25JUL25-60000-C,0.0,51.2,108901.16
BTC-25JUL25-60000-P,0.0,243.4,108901.16
BTC-25JUL25-70000-C,0.0,35.2,108901.16
BTC-25JUL25-70000-P,0.0,574.9,108901.16
BTC-25JUL25-75000-C,0.0,126.8,108901.16
BTC-25JUL25-75000-P,0.0,523.9,108901.16
BTC-25JUL25-80000-C,0.0,107.1,108900.47
BTC-25JUL25-80000-P,0.0,1622.1,108900.47
BTC-25JUL25-84000-C,0.0,8.5,108900.47
BTC-25JUL25-84000-P,0.0,585.4,108900.47
BTC-25JUL25-85000-C,0.0,32.7,108900.47
BTC-25JUL25-85000-P,0.0,3907.8,108900.47
BTC-25JUL25-86000-C,0.0,92.4,108900.47
BTC-25JUL25-86000-P,0.0,602.8,108900.47
BTC-25JUL25-88000-C,0.0,20.8,108900.53
BTC-25JUL25-88000-P,0.0,730.3,108900.53
BTC-25JUL25-90000-C,0.0,837.4,108900.48
BTC-25JUL25-90000-P,0.0,2098.5,108900.88
BTC-25JUL25-92000-C,1e-05,67.6,108900.88
BTC-25JUL25-92000-P,1e-05,1841.2,108900.88
BTC-25JUL25-94000-C,1e-05,230.8,108900.88
BTC-25JUL25-94000-P,1e-05,1128.1,108900.88
BTC-25JUL25-95000-C,1e-05,21.7,108900.55
BTC-25JUL25-95000-P,1e-05,2128.8,108900.55
BTC-25JUL25-96000-C,1e-05,163.3,108900.88
BTC-25JUL25-96000-P,1e-05,627.1,108897.88
BTC-25JUL25-98000-C,2e-05,196.0,108897.28
BTC-25JUL25-98000-P,2e-05,1852.1,108897.28
BTC-25JUL25-100000-C,2e-05,642.3,108897.55
BTC-25JUL25-100000-P,2e-05,3100.6,108897.98
BTC-25JUL25-102000-C,3e-05,387.4,108899.24
BTC-25JUL25-102000-P,3e-05,2836.6,108899.24
BTC-25JUL25-103000-C,4e-05,0.0,108898.64
BTC-25JUL25-103000-P,4e-05,75.8,108898.71
BTC-25JUL25-104000-C,4e-05,688.4,108898.71
BTC-25JUL25-104000-P,4e-05,916.7,108898.71
BTC-25JUL25-105000-C,4e-05,1392.6,108898.71
BTC-25JUL25-105000-P,4e-05,1855.4,108898.61
BTC-25JUL25-106000-C,5e-05,661.7,108898.61
BTC-25JUL25-106000-P,5e-05,442.0,108898.61
BTC-25JUL25-107000-C,5e-05,8.2,108898.33
BTC-25JUL25-107000-P,5e-05,10.5,108898.54
BTC-25JUL25-108000-C,5e-05,2585.9,108898.48
BTC-25JUL25-108000-P,5e-05,1998.5,108898.48
BTC-25JUL25-109000-C,5e-05,128.7,108898.48
BTC-25JUL25-109000-P,5e-05,69.5,108898.5
BTC-25JUL25-110000-C,5e-05,4531.3,108898.44
BTC-25JUL25-110000-P,5e-05,1234.1,108898.44
BTC-25JUL25-111000-C,5e-05,70.2,108897.98
BTC-25JUL25-111000-P,5e-05,1.5,108898.1
